1775986973.070226 server started (521): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1775986973.070241 on Linux 6.6.87.1-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Mon Apr 21 17:08:54 UTC 2025
1775986973.070246 using libevent 2.1.12-stable poll
1775986973.070247 using ncurses 6.4 20240113
1775986973.073595 args_parse_flags: next kill-pane
1775986973.073596 args_parse: flags end at 2 of 3
1775986973.073597 args_parse: 2 = kill-pane (type STRING)
1775986973.073600 cmd_parse_build_commands: confirm-before -p "kill-pane #P? (y/n)" kill-pane
1775986973.073601 args_parse_flags: next -N
1775986973.073603 args_parse_flag_argument: -N = Kill the active pane
1775986973.073604 args_parse_flags: next x
1775986973.073605 args_parse: flags end at 3 of 5
1775986973.073606 args_parse: 3 = x (type STRING)
1775986973.073609 args_parse: 4 = confirm-before -p "kill-pane #P? (y/n)" kill-pane (type COMMANDS)
1775986973.073613 cmd_parse_build_commands: bind-key -N "Kill the active pane" x { confirm-before -p "kill-pane #P? (y/n)" kill-pane }
1775986973.073615 cmdq_get_command: [bind-key/0x616815b246d0] group 442
1775986973.073617 cmdq_append <global>: [bind-key/0x616815b246d0]
1775986973.073620 yylex_token: end at WS
1775986973.073621 yylex_token: bind
1775986973.073622 yylex_token: end at WS
1775986973.073623 yylex_token: -N
1775986973.073625 yylex_token: end at WS
1775986973.073625 yylex_token: Zoom the active pane
1775986973.073627 yylex_token: end at WS
1775986973.073628 yylex_token: z
1775986973.073629 yylex_token: end at WS
1775986973.073630 yylex_token: resize-pane
1775986973.073631 yylex_token: end at WS
1775986973.073632 yylex_token: -Z
1775986973.073634 cmd_parse_build_commands 0:0: bind
1775986973.073637 cmd_parse_build_commands 0:1: -N
1775986973.073638 cmd_parse_build_commands 0:2: Zoom the active pane
1775986973.073639 cmd_parse_build_commands 0:3: z
1775986973.073641 cmd_parse_build_commands 0:4 0:0: resize-pane
1775986973.073642 cmd_parse_build_commands 0:4 0:1: -Z
1775986973.073643 cmd_parse_build_commands 0:0: resize-pane
1775986973.073644 cmd_parse_build_commands 0:1: -Z
1775986973.073646 args_parse_flags: next -Z
1775986973.073647 args_parse_flags: -Z
1775986973.073649 args_parse: flags end at 2 of 2
1775986973.073650 cmd_parse_build_commands: resize-pane -Z
1775986973.073651 args_parse_flags: next -N
1775986973.073653 args_parse_flag_argument: -N = Zoom the active pane
1775986973.073654 args_parse_flags: next z
1775986973.073655 args_parse: flags end at 3 of 5
1775986973.073656 args_parse: 3 = z (type STRING)
1775986973.073658 args_parse: 4 = resize-pane -Z (type COMMANDS)
1775986973.073661 cmd_parse_build_commands: bind-key -N "Zoom the active pane" z { resize-pane -Z }
1775986973.073663 cmdq_get_command: [bind-key/0x616815b24840] group 450
1775986973.073664 cmdq_append <global>: [bind-key/0x616815b24840]
1775986973.073666 yylex_token: end at WS
1775986973.073666 yylex_token: bind
1775986973.073667 yylex_token: end at WS
1775986973.073668 yylex_token: -N
1775986973.073670 yylex_token: end at WS
1775986973.073672 yylex_token: Swap the active pane with the pane above
1775986973.073673 yylex_token: end at WS
1775986973.073674 yylex_token: {
1775986973.073675 yylex_token: end at WS
1775986973.073676 yylex_token: swap-pane
1775986973.073677 yylex_token: end at WS
1775986973.073678 yylex_token: -U
1775986973.073679 cmd_parse_build_commands 0:0: bind
1775986973.073680 cmd_parse_build_commands 0:1: -N
1775986973.073682 cmd_parse_build_commands 0:2: Swap the active pane with the pane above
1775986973.073683 cmd_parse_build_commands 0:3: {
1775986973.073684 cmd_parse_build_commands 0:4 0:0: swap-pane
1775986973.073685 cmd_parse_build_commands 0:4 0:1: -U
1775986973.073687 cmd_parse_build_commands 0:0: swap-pane
1775986973.073688 cmd_parse_build_commands 0:1: -U
1775986973.073690 args_parse_flags: next -U
1775986973.073691 args_parse_flags: -U
1775986973.073692 args_parse: flags end at 2 of 2
1775986973.073694 cmd_parse_build_commands: swap-pane -U
1775986973.073695 args_parse_flags: next -N
1775986973.073696 args_parse_flag_argument: -N = Swap the active pane with the pane above
1775986973.073697 args_parse_flags: next {
1775986973.073698 args_parse: flags end at 3 of 5
1775986973.073699 args_parse: 3 = { (type STRING)
1775986973.073701 args_parse: 4 = swap-pane -U (type COMMANDS)
1775986973.073705 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane above" \\{ { swap-pane -U }
1775986973.073706 cmdq_get_command: [bind-key/0x616815b25590] group 458
1775986973.073708 cmdq_append <global>: [bind-key/0x616815b25590]
1775986973.073712 yylex_token: end at WS
1775986973.073713 yylex_token: bind
1775986973.073714 yylex_token: end at WS
1775986973.073715 yylex_token: -N
1775986973.073717 yylex_token: end at WS
1775986973.073718 yylex_token: Swap the active pane with the pane below
1775986973.073719 yylex_token: end at WS
1775986973.073720 yylex_token: }
1775986973.073721 yylex_token: end at WS
1775986973.073722 yylex_token: swap-pane
1775986973.073723 yylex_token: end at WS
1775986973.073724 yylex_token: -D
1775986973.073726 cmd_parse_build_commands 0:0: bind
1775986973.073727 cmd_parse_build_commands 0:1: -N
1775986973.073728 cmd_parse_build_commands 0:2: Swap the active pane with the pane below
1775986973.073729 cmd_parse_build_commands 0:3: }
1775986973.073730 cmd_parse_build_commands 0:4 0:0: swap-pane
1775986973.073731 cmd_parse_build_commands 0:4 0:1: -D
1775986973.073733 cmd_parse_build_commands 0:0: swap-pane
1775986973.073734 cmd_parse_build_commands 0:1: -D
1775986973.073736 args_parse_flags: next -D
1775986973.073737 args_parse_flags: -D
1775986973.073739 args_parse: flags end at 2 of 2
1775986973.073740 cmd_parse_build_commands: swap-pane -D
1775986973.073741 args_parse_flags: next -N
1775986973.073745 args_parse_flag_argument: -N = Swap the active pane with the pane below
1775986973.073746 args_parse_flags: next }
1775986973.073747 args_parse: flags end at 3 of 5
1775986973.073748 args_parse: 3 = } (type STRING)
1775986973.073749 args_parse: 4 = swap-pane -D (type COMMANDS)
1775986973.073753 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane below" \\} { swap-pane -D }
1775986973.073755 cmdq_get_command: [bind-key/0x616815b25ce0] group 466
1775986973.073756 cmdq_append <global>: [bind-key/0x616815b25ce0]
1775986973.073758 yylex_token: end at WS
1775986973.073759 yylex_token: bind
1775986973.073760 yylex_token: end at WS
1775986973.073761 yylex_token: -N
1775986973.073762 yylex_token: end at WS
1775986973.073763 yylex_token: Show messages
1775986973.073764 yylex_token: end at WS
1775986973.073765 yylex_token: ~
1775986973.073767 yylex_token: end at WS
1775986973.073768 yylex_token: show-messages
1775986973.073769 cmd_parse_build_commands 0:0: bind
1775986973.073770 cmd_parse_build_commands 0:1: -N
1775986973.073771 cmd_parse_build_commands 0:2: Show messages
1775986973.073773 cmd_parse_build_commands 0:3: ~
1775986973.073774 cmd_parse_build_commands 0:4 0:0: show-messages
1775986973.073775 cmd_parse_build_commands 0:0: show-messages
1775986973.073778 args_parse: flags end at 1 of 1
1775986973.073779 cmd_parse_build_commands: show-messages
1775986973.073780 args_parse_flags: next -N
1775986973.073781 args_parse_flag_argument: -N = Show messages
1775986973.073782 args_parse_flags: next ~
1775986973.073783 args_parse: flags end at 3 of 5
1775986973.073784 args_parse: 3 = ~ (type STRING)
1775986973.073786 args_parse: 4 = show-messages (type COMMANDS)
1775986973.073789 cmd_parse_build_commands: bind-key -N "Show messages" \\~ { show-messages }
1775986973.073790 cmdq_get_command: [bind-key/0x616815b26320] group 474
1775986973.073791 cmdq_append <global>: [bind-key/0x616815b26320]
1775986973.073795 yylex_token: end at WS
1775986973.073796 yylex_token: bind
1775986973.073797 yylex_token: end at WS
1775986973.073798 yylex_token: -N
1775986973.073799 yylex_token: end at WS
1775986973.073801 yylex_token: Enter copy mode and scroll up
1775986973.073802 yylex_token: end at WS
1775986973.073803 yylex_token: PPage
1775986973.073804 yylex_token: end at WS
1775986973.073805 yylex_token: copy-mode
1775986973.073806 yylex_token: end at WS
1775986973.073807 yylex_token: -u
1775986973.073808 cmd_parse_build_commands 0:0: bind
1775986973.073809 cmd_parse_build_commands 0:1: -N
1775986973.073811 cmd_parse_build_commands 0:2: Enter copy mode and scroll up
1775986973.073812 cmd_parse_build_commands 0:3: PPage
1775986973.073813 cmd_parse_build_commands 0:4 0:0: copy-mode
1775986973.073814 cmd_parse_build_commands 0:4 0:1: -u
1775986973.073816 cmd_parse_build_commands 0:0: copy-mode
1775986973.073817 cmd_parse_build_commands 0:1: -u
1775986973.073818 args_parse_flags: next -u
1775986973.073819 args_parse_flags: -u
1775986973.073820 args_parse: flags end at 2 of 2
1775986973.073822 cmd_parse_build_commands: copy-mode -u
1775986973.073823 args_parse_flags: next -N
1775986973.073824 args_parse_flag_argument: -N = Enter copy mode and scroll up
1775986973.073825 args_parse_flags: next PPage
1775986973.073826 args_parse: flags end at 3 of 5
1775986973.073827 args_parse: 3 = PPage (type STRING)
1775986973.073829 args_parse: 4 = copy-mode -u (type COMMANDS)
1775986973.073832 cmd_parse_build_commands: bind-key -N "Enter copy mode and scroll up" PPage { copy-mode -u }
1775986973.073834 cmdq_get_command: [bind-key/0x616815b26a00] group 482
1775986973.073835 cmdq_append <global>: [bind-key/0x616815b26a00]
1775986973.073837 yylex_token: end at WS
1775986973.073838 yylex_token: bind
1775986973.073839 yylex_token: end at WS
1775986973.073840 yylex_token: -N
1775986973.073842 yylex_token: end at WS
1775986973.073843 yylex_token: Select the pane above the active pane
1775986973.073844 yylex_token: end at WS
1775986973.073845 yylex_token: -r
1775986973.073846 yylex_token: end at WS
1775986973.073847 yylex_token: Up
1775986973.073850 yylex_token: end at WS
1775986973.073851 yylex_token: select-pane
1775986973.073852 yylex_token: end at WS
1775986973.073853 yylex_token: -U
1775986973.073855 cmd_parse_build_commands 0:0: bind
1775986973.073856 cmd_parse_build_commands 0:1: -N
1775986973.073857 cmd_parse_build_commands 0:2: Select the pane above the active pane
1775986973.073858 cmd_parse_build_commands 0:3: -r
1775986973.073859 cmd_parse_build_commands 0:4: Up
1775986973.073861 cmd_parse_build_commands 0:5 0:0: select-pane
1775986973.073862 cmd_parse_build_commands 0:5 0:1: -U
1775986973.073863 cmd_parse_build_commands 0:0: select-pane
1775986973.073864 cmd_parse_build_commands 0:1: -U
1775986973.073866 args_parse_flags: next -U
1775986973.073867 args_parse_flags: -U
1775986973.073868 args_parse: flags end at 2 of 2
1775986973.073870 cmd_parse_build_commands: select-pane -U
1775986973.073871 args_parse_flags: next -N
1775986973.073872 args_parse_flag_argument: -N = Select the pane above the active pane
1775986973.073873 args_parse_flags: next -r
1775986973.073874 args_parse_flags: -r
1775986973.073875 args_parse_flags: next Up
1775986973.073876 args_parse: flags end at 4 of 6
1775986973.073877 args_parse: 4 = Up (type STRING)
1775986973.073879 args_parse: 5 = select-pane -U (type COMMANDS)
1775986973.073883 cmd_parse_build_commands: bind-key -r -N "Select the pane above the active pane" Up { select-pane -U }
1775986973.073884 cmdq_get_command: [bind-key/0x616815b27100] group 490
1775986973.073885 cmdq_append <global>: [bind-key/0x616815b27100]
1775986973.073888 yylex_token: end at WS
1775986973.073889 yylex_token: bind
1775986973.073890 yylex_token: end at WS
1775986973.073891 yylex_token: -N
1775986973.073892 yylex_token: end at WS
1775986973.073894 yylex_token: Select the pane below the active pane
1775986973.073895 yylex_token: end at WS
1775986973.073895 yylex_token: -r
1775986973.073897 yylex_token: end at WS
1775986973.073898 yylex_token: Down
1775986973.073899 yylex_token: end at WS
1775986973.073900 yylex_token: select-pane
1775986973.073901 yylex_token: end at WS
1775986973.073902 yylex_token: -D
1775986973.073903 cmd_parse_build_commands 0:0: bind
1775986973.073904 cmd_parse_build_commands 0:1: -N
1775986973.073906 cmd_parse_build_commands 0:2: Select the pane below the active pane
1775986973.073907 cmd_parse_build_commands 0:3: -r
1775986973.073908 cmd_parse_build_commands 0:4: Down
1775986973.073909 cmd_parse_build_commands 0:5 0:0: select-pane
1775986973.073910 cmd_parse_build_commands 0:5 0:1: -D
1775986973.073912 cmd_parse_build_commands 0:0: select-pane
1775986973.073913 cmd_parse_build_commands 0:1: -D
1775986973.073915 args_parse_flags: next -D
1775986973.073916 args_parse_flags: -D
1775986973.073917 args_parse: flags end at 2 of 2
1775986973.073918 cmd_parse_build_commands: select-pane -D
1775986973.073919 args_parse_flags: next -N
1775986973.073921 args_parse_flag_argument: -N = Select the pane below the active pane
1775986973.073921 args_parse_flags: next -r
1775986973.073922 args_parse_flags: -r
1775986973.073923 args_parse_flags: next Down
1775986973.073924 args_parse: flags end at 4 of 6
1775986973.073926 args_parse: 4 = Down (type STRING)
1775986973.073927 args_parse: 5 = select-pane -D (type COMMANDS)
1775986973.073931 cmd_parse_build_commands: bind-key -r -N "Select the pane below the active pane" Down { select-pane -D }
1775986973.073933 cmdq_get_command: [bind-key/0x616815b278d0] group 498
1775986973.073934 cmdq_append <global>: [bind-key/0x616815b278d0]
1775986973.073937 yylex_token: end at WS
1775986973.073938 yylex_token: bind
1775986973.073939 yylex_token: end at WS
1775986973.073940 yylex_token: -N
1775986973.073942 yylex_token: end at WS
1775986973.073943 yylex_token: Select the pane to the left of the active pane
1775986973.073944 yylex_token: end at WS
1775986973.073945 yylex_token: -r
1775986973.073946 yylex_token: end at WS
1775986973.073947 yylex_token: Left
1775986973.073949 yylex_token: end at WS
1775986973.073949 yylex_token: select-pane
1775986973.073951 yylex_token: end at WS
1775986973.073951 yylex_token: -L
1775986973.073955 cmd_parse_build_commands 0:0: bind
1775986973.073956 cmd_parse_build_commands 0:1: -N
1775986973.073957 cmd_parse_build_commands 0:2: Select the pane to the left of the active pane
1775986973.073959 cmd_parse_build_commands 0:3: -r
1775986973.073960 cmd_parse_build_commands 0:4: Left
1775986973.073961 cmd_parse_build_commands 0:5 0:0: select-pane
1775986973.073962 cmd_parse_build_commands 0:5 0:1: -L
1775986973.073964 cmd_parse_build_commands 0:0: select-pane
1775986973.073965 cmd_parse_build_commands 0:1: -L
1775986973.073967 args_parse_flags: next -L
1775986973.073968 args_parse_flags: -L
1775986973.073969 args_parse: flags end at 2 of 2
1775986973.073970 cmd_parse_build_commands: select-pane -L
1775986973.073971 args_parse_flags: next -N
1775986973.073973 args_parse_flag_argument: -N = Select the pane to the left of the active pane
1775986973.073974 args_parse_flags: next -r
1775986973.073975 args_parse_flags: -r
1775986973.073975 args_parse_flags: next Left
1775986973.073977 args_parse: flags end at 4 of 6
1775986973.073978 args_parse: 4 = Left (type STRING)
1775986973.073979 args_parse: 5 = select-pane -L (type COMMANDS)
1775986973.073983 cmd_parse_build_commands: bind-key -r -N "Select the pane to the left of the active pane" Left { select-pane -L }
1775986973.073985 cmdq_get_command: [bind-key/0x616815b28130] group 506
1775986973.073986 cmdq_append <global>: [bind-key/0x616815b28130]
1775986973.073988 yylex_token: end at WS
1775986973.073989 yylex_token: bind
1775986973.073990 yylex_token: end at WS
1775986973.073991 yylex_token: -N
1775986973.073993 yylex_token: end at WS
1775986973.073994 yylex_token: Select the pane to the right of the active pane
1775986973.073995 yylex_token: end at WS
1775986973.073996 yylex_token: -r
1775986973.073997 yylex_token: end at WS
1775986973.073998 yylex_token: Right
1775986973.073999 yylex_token: end at WS
1775986973.074001 yylex_token: select-pane
1775986973.074002 yylex_token: end at WS
1775986973.074003 yylex_token: -R
1775986973.074004 cmd_parse_build_commands 0:0: bind
1775986973.074005 cmd_parse_build_commands 0:1: -N
1775986973.074006 cmd_parse_build_commands 0:2: Select the pane to the right of the active pane
1775986973.074008 cmd_parse_build_commands 0:3: -r
1775986973.074009 cmd_parse_build_commands 0:4: Right
1775986973.074010 cmd_parse_build_commands 0:5 0:0: select-pane
1775986973.074011 cmd_parse_build_commands 0:5 0:1: -R
1775986973.074012 cmd_parse_build_commands 0:0: select-pane
1775986973.074014 cmd_parse_build_commands 0:1: -R
1775986973.074015 args_parse_flags: next -R
1775986973.074016 args_parse_flags: -R
1775986973.074017 args_parse: flags end at 2 of 2
1775986973.074019 cmd_parse_build_commands: select-pane -R
1775986973.074020 args_parse_flags: next -N
1775986973.074022 args_parse_flag_argument: -N = Select the pane to the right of the active pane
1775986973.074022 args_parse_flags: next -r
1775986973.074023 args_parse_flags: -r
1775986973.074024 args_parse_flags: next Right
1775986973.074026 args_parse: flags end at 4 of 6
1775986973.074027 args_parse: 4 = Right (type STRING)
1775986973.074028 args_parse: 5 = select-pane -R (type COMMANDS)
1775986973.074032 cmd_parse_build_commands: bind-key -r -N "Select the pane to the right of the active pane" Right { select-pane -R }
1775986973.074034 cmdq_get_command: [bind-key/0x616815b28710] group 514
1775986973.074035 cmdq_append <global>: [bind-key/0x616815b28710]
1775986973.074039 yylex_token: end at WS
1775986973.074040 yylex_token: bind
1775986973.074041 yylex_token: end at WS
1775986973.074042 yylex_token: -N
1775986973.074043 yylex_token: end at WS
1775986973.074045 yylex_token: Set the even-horizontal layout
1775986973.074046 yylex_token: end at WS
1775986973.074047 yylex_token: M-1
1775986973.074048 yylex_token: end at WS
1775986973.074049 yylex_token: select-layout
1775986973.074050 yylex_token: end at WS
1775986973.074051 yylex_token: even-horizontal
1775986973.074053 cmd_parse_build_commands 0:0: bind
1775986973.074054 cmd_parse_build_commands 0:1: -N
1775986973.074055 cmd_parse_build_commands 0:2: Set the even-horizontal layout
1775986973.074058 cmd_parse_build_commands 0:3: M-1
1775986973.074060 cmd_parse_build_commands 0:4 0:0: select-layout
1775986973.074061 cmd_parse_build_commands 0:4 0:1: even-horizontal
1775986973.074062 cmd_parse_build_commands 0:0: select-layout
1775986973.074063 cmd_parse_build_commands 0:1: even-horizontal
1775986973.074065 args_parse_flags: next even-horizontal
1775986973.074066 args_parse: flags end at 1 of 2
1775986973.074068 args_parse: 1 = even-horizontal (type STRING)
1775986973.074070 cmd_parse_build_commands: select-layout even-horizontal
1775986973.074071 args_parse_flags: next -N
1775986973.074072 args_parse_flag_argument: -N = Set the even-horizontal layout
1775986973.074073 args_parse_flags: next M-1
1775986973.074074 args_parse: flags end at 3 of 5
1775986973.074076 args_parse: 3 = M-1 (type STRING)
1775986973.074077 args_parse: 4 = select-layout even-horizontal (type COMMANDS)
1775986973.074081 cmd_parse_build_commands: bind-key -N "Set the even-horizontal layout" M-1 { select-layout even-horizontal }
1775986973.074083 cmdq_get_command: [bind-key/0x616815b28f10] group 522
1775986973.074084 cmdq_append <global>: [bind-key/0x616815b28f10]
1775986973.074086 yylex_token: end at WS
1775986973.074087 yylex_token: bind
1775986973.074088 yylex_token: end at WS
1775986973.074089 yylex_token: -N
1775986973.074091 yylex_token: end at WS
1775986973.074092 yylex_token: Set the even-vertical layout
1775986973.074093 yylex_token: end at WS
1775986973.074094 yylex_token: M-2
1775986973.074095 yylex_token: end at WS
1775986973.074096 yylex_token: select-layout
1775986973.074097 yylex_token: end at WS
1775986973.074098 yylex_token: even-vertical
1775986973.074100 cmd_parse_build_commands 0:0: bind
1775986973.074101 cmd_parse_build_commands 0:1: -N
1775986973.074102 cmd_parse_build_commands 0:2: Set the even-vertical layout
1775986973.074103 cmd_parse_build_commands 0:3: M-2
1775986973.074104 cmd_parse_build_commands 0:4 0:0: select-layout
1775986973.074105 cmd_parse_build_commands 0:4 0:1: even-vertical
1775986973.074107 cmd_parse_build_commands 0:0: select-layout
1775986973.074108 cmd_parse_build_commands 0:1: even-vertical
1775986973.074110 args_parse_flags: next even-vertical
1775986973.074111 args_parse: flags end at 1 of 2
1775986973.074112 args_parse: 1 = even-vertical (type STRING)
1775986973.074114 cmd_parse_build_commands: select-layout even-vertical
1775986973.074115 args_parse_flags: next -N
1775986973.074117 args_parse_flag_argument: -N = Set the even-vertical layout
1775986973.074117 args_parse_flags: next M-2
1775986973.074118 args_parse: flags end at 3 of 5
1775986973.074120 args_parse: 3 = M-2 (type STRING)
1775986973.074121 args_parse: 4 = select-layout even-vertical (type COMMANDS)
1775986973.074125 cmd_parse_build_commands: bind-key -N "Set the even-vertical layout" M-2 { select-layout even-vertical }
1775986973.074127 cmdq_get_command: [bind-key/0x616815b29460] group 530
1775986973.074128 cmdq_append <global>: [bind-key/0x616815b29460]
1775986973.074131 yylex_token: end at WS
1775986973.074132 yylex_token: bind
1775986973.074133 yylex_token: end at WS
1775986973.074134 yylex_token: -N
1775986973.074136 yylex_token: end at WS
1775986973.074137 yylex_token: Set the main-horizontal layout
1775986973.074138 yylex_token: end at WS
1775986973.074139 yylex_token: M-3
1775986973.074140 yylex_token: end at WS
1775986973.074141 yylex_token: select-layout
1775986973.074142 yylex_token: end at WS
1775986973.074143 yylex_token: main-horizontal
1775986973.074145 cmd_parse_build_commands 0:0: bind
1775986973.074146 cmd_parse_build_commands 0:1: -N
1775986973.074147 cmd_parse_build_commands 0:2: Set the main-horizontal layout
1775986973.074148 cmd_parse_build_commands 0:3: M-3
1775986973.074149 cmd_parse_build_commands 0:4 0:0: select-layout
1775986973.074150 cmd_parse_build_commands 0:4 0:1: main-horizontal
1775986973.074152 cmd_parse_build_commands 0:0: select-layout
1775986973.074153 cmd_parse_build_commands 0:1: main-horizontal
1775986973.074155 args_parse_flags: next main-horizontal
1775986973.074159 args_parse: flags end at 1 of 2
1775986973.074161 args_parse: 1 = main-horizontal (type STRING)
1775986973.074163 cmd_parse_build_commands: select-layout main-horizontal
1775986973.074164 args_parse_flags: next -N
1775986973.074165 args_parse_flag_argument: -N = Set the main-horizontal layout
1775986973.074166 args_parse_flags: next M-3
1775986973.074167 args_parse: flags end at 3 of 5
1775986973.074168 args_parse: 3 = M-3 (type STRING)
1775986973.074170 args_parse: 4 = select-layout main-horizontal (type COMMANDS)
1775986973.074173 cmd_parse_build_commands: bind-key -N "Set the main-horizontal layout" M-3 { select-layout main-horizontal }
1775986973.074175 cmdq_get_command: [bind-key/0x616815b29af0] group 538
1775986973.074176 cmdq_append <global>: [bind-key/0x616815b29af0]
1775986973.074178 yylex_token: end at WS
1775986973.074179 yylex_token: bind
1775986973.074180 yylex_token: end at WS
1775986973.074181 yylex_token: -N
1775986973.074183 yylex_token: end at WS
1775986973.074184 yylex_token: Set the main-vertical layout
1775986973.074185 yylex_token: end at WS
1775986973.074186 yylex_token: M-4
1775986973.074187 yylex_token: end at WS
1775986973.074188 yylex_token: select-layout
1775986973.074189 yylex_token: end at WS
1775986973.074190 yylex_token: main-vertical
1775986973.074192 cmd_parse_build_commands 0:0: bind
1775986973.074193 cmd_parse_build_commands 0:1: -N
1775986973.074194 cmd_parse_build_commands 0:2: Set the main-vertical layout
1775986973.074195 cmd_parse_build_commands 0:3: M-4
1775986973.074196 cmd_parse_build_commands 0:4 0:0: select-layout
1775986973.074197 cmd_parse_build_commands 0:4 0:1: main-vertical
1775986973.074199 cmd_parse_build_commands 0:0: select-layout
1775986973.074200 cmd_parse_build_commands 0:1: main-vertical
1775986973.074202 args_parse_flags: next main-vertical
1775986973.074203 args_parse: flags end at 1 of 2
1775986973.074204 args_parse: 1 = main-vertical (type STRING)
1775986973.074206 cmd_parse_build_commands: select-layout main-vertical
1775986973.074207 args_parse_flags: next -N
1775986973.074208 args_parse_flag_argument: -N = Set the main-vertical layout
1775986973.074209 args_parse_flags: next M-4
1775986973.074210 args_parse: flags end at 3 of 5
1775986973.074211 args_parse: 3 = M-4 (type STRING)
1775986973.074213 args_parse: 4 = select-layout main-vertical (type COMMANDS)
1775986973.074216 cmd_parse_build_commands: bind-key -N "Set the main-vertical layout" M-4 { select-layout main-vertical }
1775986973.074218 cmdq_get_command: [bind-key/0x616815b2a0d0] group 546
1775986973.074219 cmdq_append <global>: [bind-key/0x616815b2a0d0]
1775986973.074221 yylex_token: end at WS
1775986973.074222 yylex_token: bind
1775986973.074223 yylex_token: end at WS
1775986973.074224 yylex_token: -N
1775986973.074225 yylex_token: end at WS
1775986973.074226 yylex_token: Select the tiled layout
1775986973.074227 yylex_token: end at WS
1775986973.074228 yylex_token: M-5
1775986973.074230 yylex_token: end at WS
1775986973.074231 yylex_token: select-layout
1775986973.074232 yylex_token: end at WS
1775986973.074233 yylex_token: tiled
1775986973.074234 cmd_parse_build_commands 0:0: bind
1775986973.074235 cmd_parse_build_commands 0:1: -N
1775986973.074236 cmd_parse_build_commands 0:2: Select the tiled layout
1775986973.074237 cmd_parse_build_commands 0:3: M-5
1775986973.074239 cmd_parse_build_commands 0:4 0:0: select-layout
1775986973.074240 cmd_parse_build_commands 0:4 0:1: tiled
1775986973.074241 cmd_parse_build_commands 0:0: select-layout
1775986973.074242 cmd_parse_build_commands 0:1: tiled
1775986973.074244 args_parse_flags: next tiled
1775986973.074245 args_parse: flags end at 1 of 2
1775986973.074247 args_parse: 1 = tiled (type STRING)
1775986973.074248 cmd_parse_build_commands: select-layout tiled
1775986973.074250 args_parse_flags: next -N
1775986973.074251 args_parse_flag_argument: -N = Select the tiled layout
1775986973.074252 args_parse_flags: next M-5
1775986973.074253 args_parse: flags end at 3 of 5
1775986973.074254 args_parse: 3 = M-5 (type STRING)
1775986973.074258 args_parse: 4 = select-layout tiled (type COMMANDS)
1775986973.074261 cmd_parse_build_commands: bind-key -N "Select the tiled layout" M-5 { select-layout tiled }
1775986973.074263 cmdq_get_command: [bind-key/0x616815b2a370] group 554
1775986973.074264 cmdq_append <global>: [bind-key/0x616815b2a370]
1775986973.074267 yylex_token: end at WS
1775986973.074268 yylex_token: bind
1775986973.074270 yylex_token: end at WS
1775986973.074270 yylex_token: -N
1775986973.074272 yylex_token: end at WS
1775986973.074273 yylex_token: Select the next window with an alert
1775986973.074274 yylex_token: end at WS
1775986973.074275 yylex_token: M-n
1775986973.074276 yylex_token: end at WS
1775986973.074278 yylex_token: next-window
1775986973.074278 yylex_token: end at WS
1775986973.074279 yylex_token: -a
1775986973.074281 cmd_parse_build_commands 0:0: bind
1775986973.074282 cmd_parse_build_commands 0:1: -N
1775986973.074283 cmd_parse_build_commands 0:2: Select the next window with an alert
1775986973.074284 cmd_parse_build_commands 0:3: M-n
1775986973.074285 cmd_parse_build_commands 0:4 0:0: next-window
1775986973.074286 cmd_parse_build_commands 0:4 0:1: -a
1775986973.074288 cmd_parse_build_commands 0:0: next-window
1775986973.074289 cmd_parse_build_commands 0:1: -a
1775986973.074291 args_parse_flags: next -a
1775986973.074292 args_parse_flags: -a
1775986973.074293 args_parse: flags end at 2 of 2
1775986973.074295 cmd_parse_build_commands: next-window -a
1775986973.074296 args_parse_flags: next -N
1775986973.074297 args_parse_flag_argument: -N = Select the next window with an alert
1775986973.074298 args_parse_flags: next M-n
1775986973.074299 args_parse: flags end at 3 of 5
1775986973.074300 args_parse: 3 = M-n (type STRING)
1775986973.074302 args_parse: 4 = next-window -a (type COMMANDS)
1775986973.074305 cmd_parse_build_commands: bind-key -N "Select the next window with an alert" M-n { next-window -a }
1775986973.074307 cmdq_get_command: [bind-key/0x616815b2a8a0] group 562
1775986973.074308 cmdq_append <global>: [bind-key/0x616815b2a8a0]
1775986973.074310 yylex_token: end at WS
1775986973.074311 yylex_token: bind
1775986973.074312 yylex_token: end at WS
1775986973.074313 yylex_token: -N
1775986973.074314 yylex_token: end at WS
1775986973.074315 yylex_token: Rotate through the panes in reverse
1775986973.074317 yylex_token: end at WS
1775986973.074317 yylex_token: M-o
1775986973.074319 yylex_token: end at WS
1775986973.074320 yylex_token: rotate-window
1775986973.074321 yylex_token: end at WS
1775986973.074322 yylex_token: -D
1775986973.074323 cmd_parse_build_commands 0:0: bind
1775986973.074324 cmd_parse_build_commands 0:1: -N
1775986973.074325 cmd_parse_build_commands 0:2: Rotate through the panes in reverse
1775986973.074326 cmd_parse_build_commands 0:3: M-o
1775986973.074328 cmd_parse_build_commands 0:4 0:0: rotate-window
1775986973.074329 cmd_parse_build_commands 0:4 0:1: -D
1775986973.074330 cmd_parse_build_commands 0:0: rotate-window
1775986973.074331 cmd_parse_build_commands 0:1: -D
1775986973.074333 args_parse_flags: next -D
